,product_id,product_name,discounted_price,actual_price,rating,rating_count,main category,sub category,discount_percentage %,quality of product
431,B0116MIKKC,Goldmedal Curve Plus 202042 Plastic Spice 3-Pin 240V Universal Travel Adaptor (White),99.0,171.0,4.5,11339.0,Electronics,Chargers,42.0,excellent
432,B09P858DK8,"WeCool C1 Car Mobile Holder with One Click Technology,360° Rotational, Strong Suction Cup,Compatible with 4 to 6 Inch Devices, Wildshield and Dashboard Mobile Holder for Car, and Use",489.0,1999.0,4.0,3626.0,Electronics,AutomobileAccessories,76.0,excellent
433,B07DJLFMPS,HP 32GB Class 10 MicroSD Memory Card (U1 TF Card 32GB),369.0,1600.0,4.0,32625.0,Electronics,MicroSD,77.0,excellent
438,B07N8RQ6W7,Portronics MODESK POR-122 Universal Mobile Tabletop Holder (Black),134.0,699.0,4.1,16685.0,Electronics,Stands,81.0,excellent
444,B09MZCQYHZ,"Ambrane 10000mAh Slim Power Bank, 20W Fast Charging, Dual Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Anrdoid & Other Devices (Stylo 10K, Green)",999.0,1599.0,4.0,7222.0,Electronics,Chargers,38.0,excellent
447,B095RTJH1M,Spigen EZ Fit Tempered Glass Screen Protector Guard for iPhone 14/13/13 Pro - 2 Pack,999.0,2899.0,4.6,26603.0,Electronics,"Maintenance,Upkeep&Repairs",66.0,excellent
451,B08RZ5K9YH,MI 33W SonicCharge 2.0 USB Charger for Cellular Phones - White,999.0,1999.0,4.3,1777.0,Electronics,Chargers,50.0,excellent
454,B085DTN6R2,"Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with Power Delivery & 3A Quick Charge Support, Nylon Braided for All Type-C and 8 Pin Devices, Green",350.0,899.0,4.2,2263.0,Computers&Accessories,Cables,61.0,excellent
455,B09JS562TP,"Motorola a10 Dual Sim keypad Mobile with 1750 mAh Battery, Expandable Storage Upto 32GB, Wireless FM with Recording - Rose Gold",1399.0,1630.0,4.0,9378.0,Electronics,BasicMobiles,14.0,excellent
459,B0B23LW7NV,Spigen EZ Fit Tempered Glass Screen Protector for iPhone 14 Pro Max - 2 Pack (Sensor Protection),999.0,2899.0,4.7,7779.0,Electronics,"Maintenance,Upkeep&Repairs",66.0,excellent
460,B09KGV7WSV,"KINGONE Upgraded Stylus Pen, iPad Pencil, Ultra High Precision & Sensitivity, Palm Rejection, Prevents False ON/Off Touch, Power Display, Tilt Sensitivity, Magnetic Adsorption for iPad 2018 and Later",2099.0,5999.0,4.3,17129.0,Electronics,StylusPens,65.0,excellent
461,B0971DWFDT,"Portronics CarPower Mini Car Charger with Dual Output, Fast Charging (Type C PD 18W + QC 3.0A) Compatible with All Smartphones(Black)",337.0,699.0,4.2,4969.0,Electronics,Chargers,52.0,excellent
466,B01F25X6RQ,Samsung Ehs64 Ehs64Avfwecinu Hands-Free Wired In Ear Earphones With Mic With Remote Note (White),499.0,499.0,4.2,31539.0,Electronics,In-Ear,0.0,excellent
468,B0B244R4KB,Spigen EZ Fit Tempered Glass Screen Protector for iPhone 14 Pro - 2 Pack (Sensor Protection),999.0,2899.0,4.6,6129.0,Electronics,"Maintenance,Upkeep&Repairs",66.0,excellent
